,idscrap,time_saved,minutes,theorique,bus_id,arrivees,real_minutes
0,884,2018-11-23 17:15:22.397523,7,False,1,2018-11-23 17:33:57.748219,18.583333333333332
1,885,2018-11-23 17:15:48.588435,7,False,1,2018-11-23 17:33:57.748219,18.15
2,886,2018-11-23 17:16:14.752666,9,False,1,2018-11-23 17:33:57.748219,17.7
3,887,2018-11-23 17:16:42.516151,9,False,1,2018-11-23 17:33:57.748219,17.25
4,888,2018-11-23 17:17:08.796094,8,False,1,2018-11-23 17:33:57.748219,16.8
5,889,2018-11-23 17:17:35.466831,8,False,1,2018-11-23 17:33:57.748219,16.366666666666667
6,890,2018-11-23 17:18:01.567669,7,False,1,2018-11-23 17:33:57.748219,15.933333333333334
7,891,2018-11-23 17:18:27.879513,7,False,1,2018-11-23 17:33:57.748219,15.483333333333333
8,892,2018-11-23 17:18:53.961748,7,False,1,2018-11-23 17:33:57.748219,15.05
9,893,2018-11-23 17:19:20.316708,6,False,1,2018-11-23 17:33:57.748219,14.616666666666667
10,894,2018-11-23 17:19:47.106819,6,False,1,2018-11-23 17:33:57.748219,14.166666666666666
11,895,2018-11-23 17:20:13.830759,5,False,1,2018-11-23 17:33:57.748219,13.716666666666667
12,896,2018-11-23 17:20:39.947088,5,False,1,2018-11-23 17:33:57.748219,13.283333333333333
13,897,2018-11-23 17:21:06.144627,4,False,1,2018-11-23 17:33:57.748219,12.85
14,898,2018-11-23 17:21:32.236887,4,False,1,2018-11-23 17:33:57.748219,12.416666666666666
15,899,2018-11-23 17:21:59.064098,4,False,1,2018-11-23 17:33:57.748219,11.966666666666667
16,900,2018-11-23 17:22:25.663707,7,False,1,2018-11-23 17:33:57.748219,11.533333333333333
17,901,2018-11-23 17:22:52.100883,7,False,1,2018-11-23 17:33:57.748219,11.083333333333334
18,902,2018-11-23 17:23:18.478929,6,False,1,2018-11-23 17:33:57.748219,10.65
19,903,2018-11-23 17:23:44.575173,6,False,1,2018-11-23 17:33:57.748219,10.216666666666667
20,904,2018-11-23 17:24:11.808466,6,False,1,2018-11-23 17:33:57.748219,9.75
21,905,2018-11-23 17:24:38.222607,6,False,1,2018-11-23 17:33:57.748219,9.316666666666666
22,906,2018-11-23 17:25:04.626668,5,False,1,2018-11-23 17:33:57.748219,8.883333333333333
23,907,2018-11-23 17:25:31.310499,5,False,1,2018-11-23 17:33:57.748219,8.433333333333334
24,908,2018-11-23 17:26:02.695815,4,False,1,2018-11-23 17:33:57.748219,7.916666666666667
25,909,2018-11-23 17:26:29.950159,4,False,1,2018-11-23 17:33:57.748219,7.45
26,910,2018-11-23 17:26:56.070495,4,False,1,2018-11-23 17:33:57.748219,7.016666666666667
27,911,2018-11-23 17:27:22.195845,3,False,1,2018-11-23 17:33:57.748219,6.583333333333333
28,912,2018-11-23 17:27:48.355439,6,False,1,2018-11-23 17:33:57.748219,6.15
29,913,2018-11-23 17:28:14.511034,5,False,1,2018-11-23 17:33:57.748219,5.716666666666667
