,arret,idscrap,time_saved,minutes
0,490,2281,2018-12-05 06:12:34.748364,33
1,490,2428,2018-12-05 07:17:40.898958,3
2,490,2429,2018-12-05 07:18:07.231207,2
3,490,2430,2018-12-05 07:18:33.830282,2
4,490,2431,2018-12-05 07:19:00.669073,2
5,490,2432,2018-12-05 07:19:27.028316,1
6,490,2433,2018-12-05 07:19:53.559173,1
7,233,384,2018-12-04 18:26:16.127520,1
8,233,385,2018-12-04 18:26:42.582965,1
9,233,386,2018-12-04 18:27:09.190124,0
10,233,1553,2018-12-05 16:42:23.679830,2
11,233,574,2018-12-04 19:50:52.782633,1
12,233,575,2018-12-04 19:51:19.095954,0
13,233,576,2018-12-04 19:51:45.774973,0
14,233,577,2018-12-04 19:52:12.434558,0
15,233,1554,2018-12-05 16:42:51.853662,2
16,233,1555,2018-12-05 16:43:19.267308,1
17,233,1556,2018-12-05 16:43:47.366656,1
18,233,1739,2018-12-05 18:07:25.598041,2
19,233,1643,2018-12-05 17:24:09.840722,15
20,233,1740,2018-12-05 18:07:52.532829,2
21,233,1741,2018-12-05 18:08:19.613905,1
22,233,1858,2018-12-05 19:01:04.681134,0
23,233,1859,2018-12-05 19:01:31.191838,0
24,233,1884,2018-12-05 19:12:49.619648,2
25,233,1885,2018-12-05 19:13:16.524168,1
26,238,40,2018-12-04 15:50:49.626024,3
27,238,41,2018-12-04 15:51:17.196385,2
28,238,42,2018-12-04 15:51:45.462835,2
29,238,43,2018-12-04 15:52:13.492271,1
30,238,44,2018-12-04 15:52:41.273440,1
31,238,45,2018-12-04 15:53:08.633658,0
32,238,46,2018-12-04 15:53:35.109759,0
33,238,128,2018-12-04 16:30:57.147786,1
34,238,129,2018-12-04 16:31:24.578345,0
35,238,155,2018-12-04 16:43:09.725034,1
36,238,156,2018-12-04 16:43:37.543880,1
37,238,157,2018-12-04 16:44:05.277697,0
38,238,158,2018-12-04 16:44:31.781589,1
39,238,159,2018-12-04 16:44:58.851935,1
40,238,250,2018-12-04 17:25:44.935489,3
41,238,251,2018-12-04 17:26:11.898257,2
42,238,252,2018-12-04 17:26:38.729366,2
43,238,253,2018-12-04 17:27:05.585456,1
44,238,254,2018-12-04 17:27:31.820281,1
45,238,255,2018-12-04 17:27:58.170919,2
46,238,256,2018-12-04 17:28:24.586708,1
47,238,257,2018-12-04 17:28:51.025337,1
48,238,258,2018-12-04 17:29:17.365117,0
49,238,351,2018-12-04 18:10:33.905223,2
50,238,352,2018-12-04 18:11:00.732577,2
51,238,353,2018-12-04 18:11:27.643906,1
52,238,354,2018-12-04 18:11:54.392009,1
53,238,356,2018-12-04 18:12:47.678672,2
54,238,357,2018-12-04 18:13:14.578815,1
55,238,358,2018-12-04 18:13:42.038187,1
56,238,359,2018-12-04 18:14:09.476246,0
57,238,360,2018-12-04 18:14:38.357168,5
58,238,409,2018-12-04 18:36:18.932108,2
59,238,410,2018-12-04 18:36:45.126263,2
60,238,411,2018-12-04 18:37:11.469011,1
61,238,412,2018-12-04 18:37:37.746616,1
62,238,413,2018-12-04 18:38:04.442621,0
63,238,414,2018-12-04 18:38:30.599030,1
64,238,415,2018-12-04 18:38:56.817325,1
65,238,463,2018-12-04 19:00:05.811811,1
66,238,464,2018-12-04 19:00:32.391068,2
67,238,577,2018-12-04 19:51:19.017631,1
68,238,578,2018-12-04 19:51:45.665605,1
69,238,579,2018-12-04 19:52:12.226824,0
70,238,1350,2018-12-05 08:59:05.230099,1
71,238,1351,2018-12-05 08:59:33.813017,1
72,238,1352,2018-12-05 09:00:02.245855,1
73,238,1353,2018-12-05 09:00:28.860656,0
0,238,1354,2018-12-05 09:00:56.963161,1
0,238,1355,2018-12-05 09:01:24.370686,0
0,238,1392,2018-12-05 09:18:17.297723,0
0,238,1393,2018-12-05 09:18:44.298475,0
0,238,1428,2018-12-05 09:34:35.452582,2
0,238,1429,2018-12-05 09:35:02.168961,1
0,238,1430,2018-12-05 09:35:32.869474,1
0,238,1499,2018-12-05 16:12:13.645234,5
0,238,1500,2018-12-05 16:12:40.867786,6
